lat,lon,value
-10.750000,148.000000,7.000000
-10.750000,148.250000,7.000000
-10.750000,148.500000,7.000000
-10.750000,148.750000,7.000000
-10.750000,149.000000,7.000000
-10.750000,149.250000,7.000000
-10.750000,149.500000,7.000000
-10.750000,149.750000,7.000000
-10.750000,150.000000,7.000000
-10.750000,150.250000,7.000000
-10.750000,150.500000,7.000000
-10.750000,150.750000,7.000000
-10.750000,151.000000,7.000000
-10.750000,151.250000,7.000000
-10.750000,151.500000,7.000000
-10.750000,151.750000,7.000000
-10.750000,152.000000,6.000000
-10.750000,152.250000,6.000000
-10.750000,152.500000,5.000000
-10.750000,152.750000,5.000000
-10.750000,153.000000,4.000000
-10.750000,153.250000,4.000000
-10.750000,153.500000,3.000000
-10.750000,153.750000,3.000000
-10.750000,154.000000,2.000000
-10.750000,154.250000,2.000000
-10.750000,154.500000,2.000000
-10.750000,154.750000,1.000000
-10.750000,155.000000,1.000000
-10.750000,155.250000,1.000000
-10.750000,155.500000,1.000000
-10.750000,155.750000,1.000000
-10.750000,156.000000,0.000000
-10.750000,156.250000,0.000000
-11.000000,112.000000,0.000000
-11.000000,112.250000,0.000000
-11.000000,112.500000,0.000000
-11.000000,112.750000,0.000000
-11.000000,113.000000,0.000000
-11.000000,113.250000,0.000000
-11.000000,113.500000,0.000000
-11.000000,113.750000,0.000000
-11.000000,114.000000,1.000000
-11.000000,114.250000,1.000000
-11.000000,114.500000,1.000000
-11.000000,114.750000,1.000000
-11.000000,115.000000,1.000000
-11.000000,115.250000,1.000000
-11.000000,115.500000,1.000000
-11.000000,115.750000,1.000000
-11.000000,116.000000,1.000000
-11.000000,116.250000,1.000000
-11.000000,116.500000,2.000000
-11.000000,116.750000,2.000000
-11.000000,117.000000,2.000000
-11.000000,117.250000,2.000000
-11.000000,117.500000,2.000000
-11.000000,117.750000,2.000000
-11.000000,118.000000,3.000000
-11.000000,118.250000,3.000000
-11.000000,118.500000,3.000000
-11.000000,118.750000,3.000000
-11.000000,119.000000,3.000000
-11.000000,119.250000,3.000000
-11.000000,119.500000,4.000000
-11.000000,119.750000,4.000000
-11.000000,120.000000,4.000000
-11.000000,120.250000,4.000000
-11.000000,120.500000,4.000000
-11.000000,120.750000,5.000000
-11.000000,121.000000,5.000000
-11.000000,121.250000,5.000000
-11.000000,121.500000,5.000000
-11.000000,121.750000,6.000000
-11.000000,122.000000,6.000000
-11.000000,122.250000,6.000000
-11.000000,122.500000,7.000000
-11.000000,122.750000,7.000000
-11.000000,123.000000,7.000000
-11.000000,123.250000,8.000000
